Branch,10th_%,12th_%,Degree_Sem_1_Cgpa,Degree_Sem_2_Cgpa,Degree_Sem_3_Cgpa,Degree_Sem_4_Cgpa,Degree_Sem_5_Cgpa,Programming_Skills,Communication_Skills_Out_Of_5,English_Grammar_Out_Of_5,Status,skill_have
4,80,68.53,6.65,6.85,6,6.94,8,0,4,4,1,"Keil software, microcontroller"
1,89.6,59.6,5.48,6.47,6.19,7.44,9.67,2,4,4,0,Java programming 
3,75,68.53,6.65,6.85,8.86,7.25,7,0,3,3,0,Coding and Programming
3,92,76,5.69,5.17,6.88,6.48,8.96,1,3,4,1,"C, C++"
3,70,79.69,6.89,7.19,7.19,8.76,9.33,2140,4,3,1,"NETWORKING:-I Have worked on CISCO PACKET TRACER.
C PROGRAMING:-I have done c programing during my first year.
Embedded C:-I have done course on embedded systems.Embedded C was used on LPC 2148.
HTML:-I have done course of HTML on Coursera and I have the certificate. 
MICROSOFT EXCEL,MICROSOFT OFFICE,SCILAB"
3,79,59.6,5.69,5.87,5.96,5.08,9.33,0,5,3,0,I'm good in core electronics and embedded systems 
1,84.4,73.3,6.56,7.78,7.38,8.63,9.52,135,4,3,1,"C,C++,HTML, Python, Database"
1,88.2,85.4,5.96,5.93,7.03,7.3,9.74,43,5,4,0,"MACHINE LEARNING, PYTHON"
3,79.4,68.53,6.65,6.85,5.81,7.76,8.67,0,4,4,0,Networking and Cyber Security
3,87,81,6.67,6.45,6.23,7.84,9,15,2,3,1,"C++,Data Structures and Algorithms, Dart ,Flutter with firebase, SQL"
1,88.2,66.7,6.07,6.69,6.54,8.3,9.85,350,4,5,1,"Python with Data Science, My SQL 8x. with PL/SQL Database Programming "
7,97.8,89.8,9.91,9.7,9.31,10,9.59,0,5,4,0,"Basic Course of ICE
Auto Cad 
PTC Creo
C language"
1,86.8,69.3,6.3,6.11,7.58,7.11,9.07,1213,3,3,1,"1. Good Programming knowledge
2. Familiar with C and C++ programming language
3.Basic knowledge about web development"
3,78,51.69,6.65,6.85,6.92,7.88,9.33,121523,4,4,0,"1. Known softwares-. Catia, multisim, cisco packet tracer, matlab ,scilab
2. languages: c++, MySQL, java, python
 And I have knowledge of microprocessors and microcontrollers as well."
5,74.2,77.5,8.04,7.67,7.74,7.96,9.18,3,4,4,0,"I have knowledge about 3D model designing, Programming. "
1,92.8,83.6,8.81,8.56,9.23,9.67,9.78,235,3,3,0,"C, java, python, sql"
3,87.2,68.53,7.67,6.93,7.12,8.88,9.07,3,4,4,1,Basic knowledge about python programming and aws fundamentals:going cloud native 
