Branch,10th_%,12th_%,Degree_Sem_1_Cgpa,Degree_Sem_2_Cgpa,Degree_Sem_3_Cgpa,Degree_Sem_4_Cgpa,Degree_Sem_5_Cgpa,Programming_Skills,Communication_Skills_Out_Of_5,English_Grammar_Out_Of_5,Salary
4,80,68.53,6.65,6.85,6,6.94,8,0,4,4,0
3,75,68.53,6.65,6.85,8.86,7.25,7,0,3,3,0
3,92,76,5.69,5.17,6.88,6.48,8.96,1,3,4,0
3,79,59.6,5.69,5.87,5.96,5.08,9.33,0,5,3,0
3,79.4,68.53,6.65,6.85,5.81,7.76,8.67,0,4,4,0
7,97.8,89.8,9.91,9.7,9.31,10,9.59,0,5,4,0
3,70,67,7.78,5.87,6.81,6.04,9.3,1,4,4,0
7,91.2,68.53,6.65,6.85,9.27,10,9.93,3,4,4,0
5,71,50,5.67,5.81,5.07,4.67,8.36,1,3,3,0
5,80.2,70.2,5.24,5.8,6.85,6.96,8.96,13,5,4,0
2,87.2,68.53,6.65,6.85,7.31,8.85,9.35,1235,4,5,0
6,87.8,69.2,6.39,5.56,7.57,8.17,9.33,0,4,4,0
3,82.4,66.3,6,6,6.5,7.2,8.96,21,4,4,0
6,92.6,68.53,6.65,6.85,9.65,10,9.22,0,4,4,0
3,68.8,68.53,6.65,6.5,7.12,7.32,9.33,302,5,5,0
1,82,63,6.26,7.28,6.58,7.93,9.7,3,4,4,0
3,87.6,68.3,6.93,8.56,8.5,8.6,9.85,13,4,4,0
2,83.8,68.53,7.15,6.24,6.92,6.08,8.15,2,3,4,0
1,56.4,60.3,6.78,7.56,5.31,6.59,8.44,3,3,3,0
5,73.6,52.6,7.04,7.3,6.01,6.84,8.93,0,3,3,0
5,90.8,79.2,8.13,7.98,7.96,7.7,8.04,3,3,3,0
3,73.2,65.6,6.3,6.42,7.5,7.4,9.44,23,3,3,0
3,73.2,65.6,6.4,6.41,7.5,7.52,9.44,325,3,4,0
3,82.4,59.4,6.65,6.85,7.4,9.65,9.56,2,3,3,0
6,80.2,61.2,5.67,6.56,6.22,7.52,0,0,4,4,0
6,91.8,77.5,7.19,5.59,5.48,6.63,9.07,0,4,4,0
3,58.4,68.53,6.65,6.85,6.58,6.68,9.07,34,4,5,0
3,79.6,48.4,6.65,6.85,5.92,6.96,9.3,34,4,4,0
1,88.4,68.7,6.74,6.02,5.69,5.63,8.3,0,4,4,0
1,95.4,82.1,7.93,6.91,6.5,7.96,9.67,3,3,4,0
1,92.4,80.7,7.5,8.65,8.54,9.85,9.63,3,4,4,0
5,85.46,64.7,6.06,6.85,6.74,6.11,8.86,0,3,3,0
3,86,68.53,6.65,6.85,7.19,6.44,8.93,0,3,3,0
1,87.4,68.53,6.65,6.85,5.5,8.11,9.75,352,3,3,0
6,82,69,6.33,6.81,6.57,6.98,9.91,0,4,3,0
6,81.8,68.53,6.2,6.28,6.57,6.54,9.41,0,3,3,0
3,71,68.53,6.65,6.85,6.19,6.4,7.9,2,2,4,0
